id;alpha_3_b;alpha_2;name;flag_32;flag_128;activated
1;aar;aa;Afar;;;false
2;abk;ab;Abkhazian;;;false
3;afr;af;Afrikaans;;;false
4;aka;ak;Akan;;;false
5;alb;sq;Albanian;;;false
6;amh;am;Amharic;;;false
7;ara;ar;Arabic;;;false
8;arg;an;Aragonese;;;false
9;arm;hy;Armenian;;;false
10;asm;as;Assamese;;;false
11;ava;av;Avaric;;;false
12;ave;ae;Avestan;;;false
13;aym;ay;Aymara;;;false
14;aze;az;Azerbaijani;;;false
15;bak;ba;Bashkir;;;false
16;bam;bm;Bambara;;;false
17;baq;eu;Basque;;;false
18;bel;be;Belarusian;;;false
19;ben;bn;Bengali;;;false
20;bih;bh;Bihari languages;;;false
21;bis;bi;Bislama;;;false
22;bos;bs;Bosnian;;;false
23;bre;br;Breton;;;false
24;bul;bg;Bulgarian;;;false
25;bur;my;Burmese;;;false
26;cat;ca;Catalan;;;false
27;cha;ch;Chamorro;;;false
28;che;ce;Chechen;;;false
29;chi;zh;Chinese;CN-32.png;CN-128.png;false
30;chv;cv;Chuvash;;;false
31;cor;kw;Cornish;;;false
32;cos;co;Corsican;;;false
33;cre;cr;Cree;;;false
34;cze;cs;Czech;CZ-32.png;CZ-128.png;false
35;dan;da;Danish;;;false
36;div;dv;Divehi;;;false
37;dut;nl;Dutch;NL-32.png;NL-128.png;false
38;dzo;dz;Dzongkha;;;false
39;eng;en;English;GB-32.png;GB-128.png;true
40;epo;eo;Esperanto;;;false
41;est;et;Estonian;;;false
42;ewe;ee;Ewe;;;false
43;fao;fo;Faroese;;;false
44;fij;fj;Fijian;;;false
45;fin;fi;Finnish;;;false
46;fre;fr;French;FR-32.png;FR-128.png;true
47;fry;fy;Western Frisian;;;false
48;ful;ff;Fulah;;;false
49;geo;ka;Georgian;;;false
50;ger;de;German;DE-32.png;DE-128.png;false
51;gla;gd;Gaelic;;;false
52;gle;ga;Irish;;;false
53;glg;gl;Galician;;;false
54;glv;gv;Manx;;;false
55;gre;el;Greek;GR-32.png;GR-128.png;false
56;grn;gn;Guarani;;;false
57;guj;gu;Gujarati;;;false
58;hat;ht;Haitian;;;false
59;hau;ha;Hausa;;;false
60;heb;he;Hebrew;;;false
61;her;hz;Herero;;;false
62;hin;hi;Hindi;IN-32.png;IN-128.png;false
63;hmo;ho;Hiri Motu;;;false
64;hrv;hr;Croatian;;;false
65;hun;hu;Hungarian;;;false
66;ibo;ig;Igbo;;;false
67;ice;is;Icelandic;;;false
68;ido;io;Ido;;;false
69;iii;ii;Sichuan Yi;;;false
70;iku;iu;Inuktitut;;;false
71;ile;ie;Interlingue;;;false
72;ind;id;Indonesian;;;false
73;ipk;ik;Inupiaq;;;false
74;ita;it;Italian;IT-32.png;IT-128.png;false
75;jav;jv;Javanese;;;false
76;jpn;ja;Japanese;JP-32.png;JP-128.png;false
77;kal;kl;Kalaallisut;;;false
78;kan;kn;Kannada;;;false
79;kas;ks;Kashmiri;;;false
80;kau;kr;Kanuri;;;false
81;kaz;kk;Kazakh;;;false
82;khm;km;Central Khmer;;;false
83;kik;ki;Kikuyu;;;false
84;kin;rw;Kinyarwanda;;;false
85;kir;ky;Kirghiz;;;false
86;kom;kv;Komi;;;false
87;kon;kg;Kongo;;;false
88;kor;ko;Korean;;;false
89;kua;kj;Kuanyama;;;false
90;kur;ku;Kurdish;;;false
91;lao;lo;Lao;;;false
92;lat;la;Latin;;;false
93;lav;lv;Latvian;;;false
94;lim;li;Limburgan;;;false
95;lin;ln;Lingala;;;false
96;lit;lt;Lithuanian;;;false
97;ltz;lb;Luxembourgish;;;false
98;lub;lu;Luba-Katanga;;;false
99;lug;lg;Ganda;;;false
100;mac;mk;Macedonian;;;false
101;mah;mh;Marshallese;;;false
102;mal;ml;Malayalam;;;false
103;mao;mi;Maori;;;false
104;mar;mr;Marathi;;;false
105;may;ms;Malay;;;false
106;mlg;mg;Malagasy;;;false
107;mlt;mt;Maltese;;;false
108;mon;mn;Mongolian;;;false
109;nau;na;Nauru;;;false
110;nav;nv;Navajo;;;false
111;nbl;nr;Ndebele;;;false
112;ndo;ng;Ndonga;;;false
113;nep;ne;Nepali;;;false
116;nor;no;Norwegian;NO-32.png;NO-128.png;false
117;nya;ny;Chichewa;;;false
118;oci;oc;Occitan;;;false
119;oji;oj;Ojibwa;;;false
120;ori;or;Oriya;;;false
121;orm;om;Oromo;;;false
122;oss;os;Ossetian;;;false
123;pan;pa;Panjabi;;;false
124;per;fa;Persian;;;false
125;pli;pi;Pali;;;false
126;pol;pl;Polish;;;false
127;por;pt;Portuguese;PT-32.png;PT-128.png;false
128;pus;ps;Pushto;;;false
129;que;qu;Quechua;;;false
130;roh;rm;Romansh;;;false
131;rum;ro;Romanian;;;false
132;run;rn;Rundi;;;false
133;rus;ru;Russian;;;false
134;sag;sg;Sango;;;false
135;san;sa;Sanskrit;;;false
136;sin;si;Sinhala;;;false
137;slo;sk;Slovak;;;false
138;slv;sl;Slovenian;;;false
139;sme;se;Northern Sami;;;false
140;smo;sm;Samoan;;;false
141;sna;sn;Shona;;;false
142;snd;sd;Sindhi;;;false
143;som;so;Somali;;;false
144;sot;st;Sotho;;;false
145;spa;es;Spanish;ES-32.png;ES-128.png;false
146;srd;sc;Sardinian;;;false
147;srp;sr;Serbian;;;false
148;ssw;ss;Swati;;;false
149;sun;su;Sundanese;;;false
150;swa;sw;Swahili;;;false
151;swe;sv;Swedish;;;false
152;tah;ty;Tahitian;;;false
153;tam;ta;Tamil;;;false
154;tat;tt;Tatar;;;false
155;tel;te;Telugu;;;false
156;tgk;tg;Tajik;;;false
157;tgl;tl;Tagalog;;;false
158;tha;th;Thai;;;false
159;tib;bo;Tibetan;;;false
160;tir;ti;Tigrinya;;;false
161;ton;to;Tonga;;;false
162;tsn;tn;Tswana;;;false
163;tso;ts;Tsonga;;;false
164;tuk;tk;Turkmen;;;false
165;tur;tr;Turkish;;;false
166;twi;tw;Twi;;;false
167;uig;ug;Uighur;;;false
168;ukr;uk;Ukrainian;;;false
169;urd;ur;Urdu;;;false
170;uzb;uz;Uzbek;;;false
171;ven;ve;Venda;;;false
172;vie;vi;Vietnamese;;;false
174;wel;cy;Welsh;;;false
175;wln;wa;Walloon;;;false
176;wol;wo;Wolof;;;false
177;xho;xh;Xhosa;;;false
178;yid;yi;Yiddish;;;false
179;yor;yo;Yoruba;;;false
180;zha;za;Zhuang;;;false
181;zul;zu;Zulu;;;false
